Date,Days,Cases
April 1 2021,1,81466
April 2 2021,2,"89,129"
April 3 2021,3,93249
April 4 2021,4,103558
April 5 2021,5,96982
April 6 2021,6,115736
April 7 2021,7,126789
April 8 2021,8,131968
April 9 2021,9,145384
April 10 2021,10,152879
April 11 2021,11,168912
April 12 2021,12,161736
April 13 2021,13,184372
April 14 2021,14,200739
April 15 2021,15,217353
April 16 2021,16,234692
April 17 2021,17,261394
April 18 2021,18,273802
April 19 2021,19,259167
April 20 2021,20,295158
April 21 2021,21,314644
April 22 2021,22,332921
April 23 2021,23,346786
April 24 2021,24,349691
April 25 2021,25,352991
April 26 2021,26,323023
April 27 2021,27,360927
April 28 2021,28,379308
April 29 2021,29,386555
April 30 2021,30,401993
May 1 2021,31,392488
May 2 2021,32,368060
May 3 2021,33,357316
May 4 2021,34,382146
May 5 2021,35,412431
May 6 2021,36,414188
May 7 2021,37,401078
May 8 2021,38,403405
May 9 2021,39,366494
May 10 2021,40,329942
May 11 2021,41,348421
